iter	RMSE
0	3030.342547
1	2932.472811
2	2842.850748
3	2750.060497
4	2665.541698
5	2586.437278
6	2515.386355
7	2446.469507
8	2386.899421
9	2324.358275
10	2269.593218
11	2217.630724
12	2165.778167
13	2121.165428
14	2078.213532
15	2035.323918
16	1999.489839
17	1966.987848
18	1932.325683
19	1901.128687
20	1871.75373
21	1844.848565
22	1818.643619
23	1791.506873
24	1769.683336
25	1745.695118
26	1725.711129
27	1705.841216
28	1690.220216
29	1669.719507
30	1651.451964
31	1635.70704
32	1619.467731
33	1605.649915
34	1592.310828
35	1584.849043
36	1571.052176
37	1559.242824
38	1548.098808
39	1546.525562
40	1534.331248
41	1532.809897
42	1522.88893
43	1511.928857
44	1502.702879
45	1498.908706
46	1495.198274
47	1493.933914
48	1492.710559
49	1484.720097
50	1481.578997
51	1480.38333
52	1476.880915
53	1470.217653
54	1469.152739
55	1468.116896
56	1467.085905
57	1459.818974
58	1458.803036
59	1450.166198
60	1442.878099
61	1436.365918
62	1432.796709
63	1431.944333
64	1429.680415
65	1428.846472
66	1425.477847
67	1418.676818
68	1410.858674
69	1405.438828
70	1402.350806
71	1396.351235
72	1393.446079
73	1390.800013
74	1387.917221
75	1387.256522
76	1382.799572
77	1379.746553
78	1372.758926
79	1372.15221
80	1371.540034
81	1368.973801
82	1364.971244
83	1360.648122
84	1359.379258
85	1354.794205
86	1350.896685
87	1346.775854
88	1344.93879
89	1344.480031
90	1339.784928
91	1336.154131
92	1333.318118
93	1332.894708
94	1328.795787
95	1328.265129
96	1324.373348
97	1323.279274
98	1320.48619
99	1319.122841
100	1316.408532
101	1312.767202
102	1311.827859
103	1308.976635
104	1306.027686
105	1305.198613
106	1302.940281
107	1301.489376
108	1299.185646
109	1297.85281
110	1296.501673
111	1296.019533
112	1295.176219
113	1294.163077
114	1293.498546
115	1291.693045
116	1291.061534
117	1288.560776
118	1286.349843
119	1285.39312
120	1282.324642
121	1279.341204
122	1278.072369
123	1277.847587
124	1275.755553
125	1273.890852
126	1271.882279
127	1269.821992
128	1269.627706
129	1269.113264
130	1267.858009
131	1266.266684
132	1263.917877
133	1262.231371
134	1260.324588
135	1258.793485
136	1258.345896
137	1256.583449
138	1254.627827
139	1253.254517
140	1252.275707
141	1251.517614
142	1250.96288
143	1248.542685
144	1247.96994
145	1246.514894
146	1245.502355
147	1243.306034
148	1241.875565
149	1240.483362
150	1239.263039
151	1238.312942
152	1237.535504
153	1236.55237
154	1235.267082
155	1234.22703
156	1232.823544
157	1231.37964
158	1229.824765
159	1228.70484
160	1227.920732
161	1226.13109
162	1225.50512
163	1223.97369
164	1223.072033
165	1221.387066
166	1220.809078
167	1219.465749
168	1218.862846
169	1216.945551
170	1216.119614
171	1215.584651
172	1214.529805
173	1214.229203
174	1213.285474
175	1211.957201
176	1211.726595
177	1210.124101
178	1209.629995
179	1208.313525
180	1207.323163
181	1206.455388
182	1205.283573
183	1204.164945
184	1203.520633
185	1203.445093
186	1202.418977
187	1202.341732
188	1201.530595
189	1200.849647
190	1200.241213
191	1200.17239
192	1199.465716
193	1198.718505
194	1198.052711
195	1197.530223
196	1196.74628
197	1196.67205
198	1195.439492
199	1194.57098
200	1193.74981
201	1193.141695
202	1192.350084
203	1191.456946
204	1190.974028
205	1190.618307
206	1189.320017
207	1188.576729
208	1187.259218
209	1186.185388
210	1185.513038
211	1184.239209
212	1183.508253
213	1183.022182
214	1182.243983
215	1181.504468
216	1180.595406
217	1179.932109
218	1179.01617
219	1178.495007
220	1178.110535
221	1176.707446
222	1176.080495
223	1175.715569
224	1174.882538
225	1174.418711
226	1173.793442
227	1172.717569
228	1171.870088
229	1171.100136
230	1170.648861
231	1169.334223
232	1169.10462
233	1168.540507
234	1167.72729
235	1167.493799
236	1166.753136
237	1166.007881
238	1165.168798
239	1164.591717
240	1163.929436
241	1163.035566
242	1162.316221
243	1161.927757
244	1160.781038
245	1160.197511
246	1159.153032
247	1158.851713
248	1158.604947
249	1157.834566
250	1157.254062
251	1156.552297
252	1155.632322
253	1155.165752
254	1154.440537
255	1154.040526
256	1153.066527
257	1152.784401
258	1152.369015
259	1151.298632
260	1150.654015
261	1149.715677
262	1149.030965
263	1148.663132
264	1148.093939
265	1147.647511
266	1146.985081
267	1145.786646
268	1145.234622
269	1144.756426
270	1144.189738
271	1143.367378
272	1142.8509
273	1142.286555
274	1141.843644
275	1141.060257
276	1140.328833
277	1139.673853
278	1139.3147
279	1138.875209
280	1138.410258
281	1138.145622
282	1137.768172
283	1137.196683
284	1136.660575
285	1136.068483
286	1135.123398
287	1134.42213
288	1133.635743
289	1132.807152
290	1132.054109
291	1131.378145
292	1130.599097
293	1130.015838
294	1129.646657
295	1129.126547
296	1128.275567
297	1128.245513
298	1127.560546
299	1126.864892
300	1126.433084
301	1125.846981
302	1125.201513
303	1124.455902
304	1123.688144
305	1123.048253
306	1122.252828
307	1121.595515
308	1121.098565
309	1120.621049
310	1120.30781
311	1119.643773
312	1119.060014
313	1118.373786
314	1117.771145
315	1117.264899
316	1116.730998
317	1116.096111
318	1115.251401
319	1114.946509
320	1114.1366
321	1113.765404
322	1113.162241
323	1112.152124
324	1111.499817
325	1110.905417
326	1110.454941
327	1110.165108
328	1109.644413
329	1109.6081
330	1109.347966
331	1108.684849
332	1108.150401
333	1107.277515
334	1106.572572
335	1105.846145
336	1105.130302
337	1104.542533
338	1103.577146
339	1103.064916
340	1102.683419
341	1102.649872
342	1102.179759
343	1101.921812
344	1101.504204
345	1100.842313
346	1100.253961
347	1099.703889
348	1099.289835
349	1098.565576
350	1098.274017
351	1097.707318
352	1097.677781
353	1097.190749
354	1096.702574
355	1096.040401
356	1095.263651
357	1094.881957
358	1094.302951
359	1093.95803
360	1093.358476
361	1092.898843
362	1092.518125
363	1092.110296
364	1091.60893
365	1090.789779
366	1090.125519
367	1089.492837
368	1088.95595
369	1088.43755
370	1088.160687
371	1088.034205
372	1087.578728
373	1087.156844
374	1086.681111
375	1086.460814
376	1086.433931
377	1086.07049
378	1085.594264
379	1084.97041
380	1084.434895
381	1083.933101
382	1083.477491
383	1082.696684
384	1082.194442
385	1081.614491
386	1081.075447
387	1080.750149
388	1080.279618
389	1079.978873
390	1079.505177
391	1078.857829
392	1078.669433
393	1078.152207
394	1078.024659
395	1077.405559
396	1077.012706
397	1076.529329
398	1076.226856
399	1076.044239
400	1075.628845
401	1074.985195
402	1074.229311
403	1073.86554
404	1073.428959
405	1073.089608
406	1072.639967
407	1071.752531
408	1071.729506
409	1070.875446
410	1070.338126
411	1069.879172
412	1069.411501
413	1068.90592
414	1068.53016
415	1068.46895
416	1068.298012
417	1067.808477
418	1066.980121
419	1066.949444
420	1066.651316
421	1066.62731
422	1066.11121
423	1065.755772
424	1065.401517
425	1064.791829
426	1064.023497
427	1063.728467
428	1063.539168
429	1063.444006
430	1062.871737
431	1062.853585
432	1062.276489
433	1061.885485
434	1061.381993
435	1060.951253
436	1060.632141
437	1060.175894
438	1059.721428
439	1059.432276
440	1059.066845
441	1058.395754
442	1057.933773
443	1057.747245
444	1057.062162
445	1056.687134
446	1055.993492
447	1055.182144
448	1054.736997
449	1054.718625
450	1054.358636
451	1054.336592
452	1053.920458
453	1053.428778
454	1052.992123
455	1052.498633
456	1052.188541
457	1051.711248
458	1051.241011
459	1050.856774
460	1050.662683
461	1050.188415
462	1049.593735
463	1049.171383
464	1048.759631
465	1048.380777
466	1048.204352
467	1047.944515
468	1047.894579
469	1047.368625
470	1047.061665
471	1046.771792
472	1046.354087
473	1046.048807
474	1046.021252
475	1045.582088
476	1045.193564
477	1044.857422
478	1044.448579
479	1044.042059
480	1043.870151
481	1043.60078
482	1042.909354
483	1042.396933
484	1042.025576
485	1041.543652
486	1040.964522
487	1040.848412
488	1040.522827
489	1040.071536
490	1039.646721
491	1039.037507
492	1038.655928
493	1038.105926
494	1037.487144
495	1037.466924
496	1037.002404
497	1036.457117
498	1036.138011
499	1035.803518
500	1035.412843
501	1035.275092
502	1035.259633
503	1034.572548
504	1034.008341
505	1033.485484
506	1033.103906
507	1032.578144
508	1032.257234
509	1031.842576
510	1031.331987
511	1030.832012
512	1030.386846
513	1029.966962
514	1029.110946
515	1028.533831
516	1028.045661
517	1027.646972
518	1027.379393
519	1026.820587
520	1026.379253
521	1025.976688
522	1025.45478
523	1025.141923
524	1024.720197
525	1024.219546
526	1024.078865
527	1023.787032
528	1023.309978
529	1022.879634
530	1022.463189
531	1022.44461
532	1022.426788
533	1022.240774
534	1021.878435
535	1021.271038
536	1021.258673
537	1020.677893
538	1020.273933
539	1019.942483
540	1019.363841
541	1018.845256
542	1018.550615
543	1017.912519
544	1017.595862
545	1017.112165
546	1016.656246
547	1016.164461
548	1016.150573
549	1015.7147
550	1015.17785
551	1014.668546
552	1014.335367
553	1013.98268
554	1013.582545
555	1013.297565
556	1012.934939
557	1012.480622
558	1012.049129
559	1011.572494
560	1010.981468
561	1010.504884
562	1010.175928
563	1010.119568
564	1009.890246
565	1009.597238
566	1009.29242
567	1009.057965
568	1008.501063
569	1008.187273
570	1008.17076
571	1007.727698
572	1007.22116
573	1006.806623
574	1006.37988
575	1005.872128
576	1005.580166
577	1005.56655
578	1005.112506
579	1004.835803
580	1004.413026
581	1004.011719
582	1003.573899
583	1003.16886
584	1002.744155
585	1002.261046
586	1001.707237
587	1001.391576
588	1001.03335
589	1000.907725
590	1000.886685
591	1000.300363
592	999.8068403
593	999.3934436
594	998.8465059
595	998.5399013
596	998.2757597
597	997.8126075
598	997.5029024
599	997.0948293
600	996.5997237
601	996.213304
602	995.9380037
603	995.4120721
604	995.0458217
605	994.6452975
606	994.4190226
607	994.2244666
608	994.2096212
609	993.7874915
610	993.7735736
611	993.7379218
612	993.3937273
613	993.0362187
614	992.8272989
615	992.4276336
616	992.0101469
617	991.993742
618	991.9769577
619	991.663069
620	991.3885172
621	990.9667957
622	990.1928755
623	989.7849581
624	989.5354093
625	989.3149144
626	989.0407828
627	989.0242094
628	988.6287333
629	988.1185403
630	988.1055675
631	988.089568
632	987.7970378
633	987.3009763
634	986.8091569
635	986.3922806
636	986.1203034
637	985.6457489
638	985.6336181
639	985.3835934
640	985.0548811
641	984.6460709
642	984.0696183
643	983.6703662
644	983.3784169
645	982.8862155
646	982.8644058
647	982.5429128
648	982.1191826
649	981.9698604
650	981.9589699
651	981.5505248
652	981.3093914
653	981.2808217
654	980.8170463
655	980.4744767
656	980.112189
657	980.0997358
658	979.6111072
659	979.1551827
660	978.8858241
661	978.4109418
662	977.9747433
663	977.5316666
664	977.1062244
665	976.8532208
666	976.6120371
667	976.2661382
668	975.9861484
669	975.4646915
670	975.0642816
671	974.7394565
672	974.5027177
673	974.1176872
674	974.1055604
675	973.6491325
676	973.4347007
677	973.1178469
678	972.8967657
679	972.528146
680	972.1508154
681	971.8197147
682	971.8100826
683	971.4280369
684	971.1399088
685	970.9158461
686	970.905747
687	970.7015805
688	970.2872199
689	970.0622457
690	970.051631
691	969.611276
692	969.1749641
693	968.5320324
694	968.1029265
695	967.6268003
696	967.6137852
697	967.2215252
698	967.0348414
699	966.5725542
700	966.3670383
701	966.1050269
702	965.6897995
703	965.4028186
704	964.9358769
705	964.4374395
706	963.7660131
707	963.4185319
708	963.1155146
709	962.7681332
710	962.2173398
711	961.7813144
712	961.4926702
713	961.0697395
714	960.8680097
715	960.5475377
716	960.2338345
717	959.9193785
718	959.9095164
719	959.5367684
720	959.266894
721	958.8584603
722	958.2822412
723	957.9693965
724	957.7503688
725	957.2583484
726	956.9954508
727	956.7823867
728	956.3424174
729	956.3341894
730	956.0263728
731	955.7885043
732	955.6045887
733	954.9026478
734	954.4413868
735	953.9951613
736	953.6907396
737	953.499283
738	953.024489
739	952.9327322
740	952.6421193
741	952.3776346
742	952.0634444
743	951.7525909
744	951.5005295
745	951.1330501
746	950.7313811
747	950.3687334
748	949.908483
749	949.6015366
750	949.1220387
751	948.7141838
752	948.6951193
753	948.2683051
754	948.2519696
755	947.9231781
756	947.5654675
757	947.2008789
758	947.19247
759	946.7550047
760	946.4005202
761	946.0385339
762	945.7071214
763	945.3113529
764	944.8237557
765	944.5217391
766	944.2464889
767	943.9776828
768	943.6096974
769	943.3301476
770	943.034258
771	942.6242138
772	942.3590481
773	942.0727793
774	941.7147446
775	941.2417129
776	940.8506733
777	940.6022504
778	940.2513668
779	939.6605249
780	939.5207514
781	939.1055392
782	938.6224597
783	938.1422858
784	937.9953299
785	937.762375
786	937.4771678
787	937.2072509
788	936.9864264
789	936.6771816
790	936.3274802
791	936.0647444
792	935.590995
793	934.8746256
794	934.7580899
795	934.0519026
796	933.7125485
797	933.0970861
798	932.7698164
799	932.3312081
800	931.9953276
801	931.6504721
802	931.444006
803	931.0984746
804	930.8876771
805	930.8797972
806	930.6815919
807	930.6712815
808	930.2891004
809	929.9854249
810	929.5067152
811	929.2130223
812	928.8498305
813	928.5296423
814	928.2441772
815	928.1533884
816	927.7879938
817	927.7806223
818	927.4398554
819	926.9842805
820	926.7794658
821	926.5290959
822	926.2215709
823	925.8407322
824	925.5115393
825	925.1685976
826	924.7531254
827	924.3427179
828	924.0552306
829	923.88598
830	923.6975529
831	923.1766708
832	922.8013008
833	922.6890992
834	922.4823857
835	922.0395359
836	921.4620088
837	921.207112
838	920.9598267
839	920.8142293
840	920.6416667
841	920.0640723
842	919.6741457
843	919.4709548
844	918.9651459
845	918.7200143
846	918.3931551
847	917.9580145
848	917.9325585
849	917.6573852
850	917.2259789
851	916.527759
852	916.2542016
853	915.9045193
854	915.3703466
855	914.977702
856	914.4492532
857	913.9880263
858	913.7387897
859	913.7331196
860	913.4127492
861	912.9881114
862	912.5186959
863	912.3267074
864	912.0974238
865	911.6860361
866	911.4177458
867	910.9968835
868	910.8053904
869	910.4629778
870	910.2828471
871	910.2585302
872	909.9764682
873	909.4990534
874	908.983054
875	908.5062875
876	908.0712729
877	907.7817186
878	907.4064013
879	907.1640588
880	906.9632269
881	906.7522553
882	906.5450746
883	906.2645994
884	906.0445023
885	905.7865148
886	905.5303254
887	905.0095624
888	904.5268417
889	904.1325308
890	903.7496259
891	903.558194
892	903.1637828
893	902.8052264
894	902.4709848
895	902.2329619
896	901.9914319
897	901.7493444
898	901.4888982
899	901.2663381
900	901.0306522
901	900.6816879
902	900.3493227
903	900.3346124
904	900.3263036
905	899.9424962
906	899.6919388
907	899.5544694
908	899.2243
