iter	Passed	Remaining
0	3	3936
1	7	3498
2	10	3642
3	17	4281
4	21	4307
5	28	4653
6	31	4426
7	38	4772
8	48	5315
9	54	5384
10	70	6312
11	75	6230
12	80	6123
13	86	6118
14	90	5936
15	93	5737
16	98	5682
17	104	5675
18	107	5530
19	114	5622
20	127	5944
21	132	5885
22	135	5754
23	138	5626
24	143	5611
25	155	5818
26	164	5941
27	172	5977
28	179	5996
29	192	6211
30	196	6130
31	203	6169
32	208	6115
33	212	6028
34	221	6097
35	229	6158
36	235	6137
37	242	6151
38	247	6097
39	256	6159
40	264	6194
41	273	6235
42	279	6219
43	290	6304
44	309	6577
45	318	6606
46	326	6618
47	334	6636
48	340	6602
49	345	6560
50	348	6489
51	354	6459
52	363	6502
53	373	6539
54	381	6553
55	385	6499
56	394	6532
57	399	6493
58	413	6587
59	415	6514
60	422	6511
61	428	6476
62	431	6412
63	440	6448
64	447	6437
65	456	6456
66	461	6424
67	466	6398
68	470	6350
69	475	6323
70	487	6375
71	490	6324
72	495	6298
73	500	6260
74	503	6209
75	510	6205
76	519	6228
77	525	6213
78	529	6172
79	532	6122
80	535	6071
81	546	6114
82	556	6147
83	560	6116
84	565	6082
85	569	6055
86	574	6031
87	578	5997
88	581	5949
89	589	5961
90	601	6011
91	608	6000
92	611	5959
93	620	5985
94	640	6101
95	647	6100
96	663	6172
97	677	6240
98	688	6263
99	711	6402
100	731	6511
101	754	6638
102	762	6643
103	778	6706
104	788	6720
105	790	6667
106	799	6672
107	807	6671
108	816	6671
109	828	6703
110	832	6664
111	840	6667
112	855	6717
113	860	6691
114	866	6665
115	873	6658
116	889	6713
117	895	6695
118	904	6695
119	911	6683
120	924	6717
121	930	6693
122	934	6665
123	947	6693
124	955	6686
125	960	6663
126	966	6641
127	969	6602
128	972	6569
129	979	6554
130	992	6582
131	997	6556
132	999	6517
133	1008	6516
134	1012	6488
135	1022	6497
136	1037	6538
137	1044	6522
138	1049	6502
139	1058	6499
140	1071	6527
141	1075	6499
142	1083	6496
143	1101	6546
144	1105	6518
145	1108	6486
146	1113	6463
147	1121	6457
148	1129	6452
149	1133	6421
150	1143	6427
151	1147	6401
152	1154	6393
153	1161	6380
154	1174	6402
155	1178	6376
156	1184	6357
157	1193	6358
158	1201	6352
159	1209	6349
160	1212	6318
161	1216	6291
162	1220	6268
163	1223	6237
164	1229	6223
165	1246	6260
166	1249	6232
167	1253	6210
168	1259	6191
169	1270	6202
170	1276	6188
171	1280	6162
172	1282	6131
173	1284	6095
174	1285	6062
175	1292	6052
176	1294	6017
177	1296	5987
178	1299	5959
179	1305	5948
180	1312	5938
181	1319	5928
182	1324	5911
183	1326	5884
184	1329	5857
185	1335	5842
186	1340	5828
187	1343	5802
188	1346	5777
189	1351	5759
190	1353	5734
191	1355	5703
192	1357	5677
193	1361	5657
194	1366	5640
195	1370	5620
196	1376	5611
197	1381	5596
198	1384	5572
199	1387	5548
200	1391	5530
201	1395	5511
202	1397	5487
203	1400	5465
204	1403	5442
205	1409	5433
206	1416	5427
207	1420	5410
208	1425	5394
209	1429	5376
210	1438	5380
211	1444	5371
212	1454	5375
213	1468	5394
214	1472	5377
215	1542	5598
216	1547	5585
217	1554	5576
218	1582	5642
219	1587	5629
220	1594	5620
221	1602	5614
222	1607	5601
223	1619	5611
224	1631	5621
225	1652	5660
226	1664	5668
227	1676	5676
228	1685	5676
229	1695	5675
230	1705	5678
231	1714	5674
232	1728	5688
233	1736	5684
234	1752	5706
235	1776	5750
236	1814	5842
237	1838	5885
238	1853	5902
239	1869	5919
240	1911	6018
241	1933	6055
242	2016	6280
243	2039	6319
244	2052	6323
245	2061	6318
246	2080	6343
247	2131	6462
248	2146	6472
249	2158	6476
250	2180	6506
251	2195	6517
252	2211	6530
253	2218	6517
254	2254	6585
255	2275	6611
256	2304	6662
257	2321	6676
258	2338	6690
259	2355	6704
260	2373	6721
261	2403	6769
262	2422	6789
263	2473	6894
264	2501	6938
265	2513	6935
266	2535	6961
267	2556	6981
268	2571	6987
269	2582	6983
270	2597	6986
271	2615	6999
272	2625	6991
273	2633	6978
274	2647	6979
275	2653	6961
276	2668	6965
277	2675	6948
278	2688	6947
279	2705	6958
280	2711	6938
281	2722	6931
282	2731	6921
283	2740	6909
284	2752	6905
285	2760	6892
286	2771	6885
287	2785	6886
288	2793	6873
289	2802	6861
290	2826	6887
291	2831	6864
292	2842	6857
293	2848	6841
294	2861	6838
295	2867	6820
296	2880	6819
297	2886	6800
298	2895	6788
299	2899	6766
300	2906	6750
301	2915	6738
302	2926	6732
303	2936	6723
304	2944	6708
305	2954	6700
306	2967	6698
307	2973	6680
308	2981	6666
309	2990	6655
310	3005	6658
311	3017	6655
312	3022	6634
313	3035	6632
314	3051	6636
315	3065	6635
316	3071	6616
317	3079	6604
318	3097	6613
319	3112	6613
320	3128	6618
321	3140	6612
322	3186	6679
323	3201	6679
324	3257	6766
325	3265	6751
326	3290	6772
327	3306	6773
328	3322	6775
329	3338	6777
330	3351	6774
331	3360	6762
332	3377	6765
333	3390	6759
334	3403	6756
335	3423	6764
336	3440	6769
337	3453	6764
338	3467	6761
339	3483	6762
340	3498	6760
341	3508	6750
342	3530	6762
343	3539	6749
344	3544	6729
345	3562	6734
346	3570	6718
347	3581	6709
348	3594	6704
349	3600	6687
350	3623	6699
351	3632	6687
352	3641	6674
353	3648	6657
354	3659	6649
355	3670	6640
356	3685	6638
357	3696	6628
358	3709	6623
359	3738	6646
360	3752	6642
361	3757	6621
362	3773	6622
363	3787	6617
364	3797	6606
365	3803	6589
366	3814	6578
367	3828	6575
368	3837	6561
369	3846	6548
370	3893	6600
371	3907	6596
372	3915	6581
373	3927	6574
374	3960	6600
375	3970	6589
376	3980	6577
377	3987	6561
378	3996	6547
379	4004	6533
380	4027	6543
381	4047	6548
382	4060	6541
383	4081	6548
384	4095	6542
385	4119	6552
386	4134	6549
387	4150	6546
388	4156	6528
389	4171	6524
390	4179	6509
391	4191	6500
392	4197	6483
393	4207	6472
394	4223	6468
395	4229	6451
396	4237	6435
397	4243	6419
398	4253	6406
399	4280	6420
400	4291	6410
401	4298	6393
402	4302	6373
403	4317	6368
404	4326	6356
405	4337	6346
406	4343	6328
407	4349	6311
408	4358	6298
409	4374	6294
410	4384	6284
411	4389	6264
412	4398	6251
413	4416	6251
414	4424	6236
415	4436	6228
416	4446	6217
417	4454	6201
418	4461	6186
419	4469	6171
420	4476	6156
421	4484	6141
422	4487	6121
423	4497	6110
424	4505	6095
425	4512	6079
426	4516	6060
427	4528	6051
428	4537	6039
429	4544	6024
430	4554	6012
431	4560	5995
432	4572	5987
433	4578	5971
434	4585	5956
435	4589	5937
436	4597	5923
437	4604	5908
438	4616	5898
439	4621	5881
440	4627	5865
441	4632	5848
442	4636	5829
443	4645	5817
444	4651	5801
445	4661	5789
446	4665	5771
447	4671	5755
448	4690	5755
449	4694	5738
450	4702	5724
451	4707	5707
452	4711	5689
453	4718	5674
454	4724	5658
455	4735	5649
456	4740	5632
457	4745	5616
458	4752	5601
459	4757	5584
460	4769	5576
461	4774	5559
462	4780	5545
463	4784	5526
464	4789	5510
465	4799	5499
466	4806	5485
467	4813	5471
468	4817	5454
469	4822	5437
470	4827	5421
471	4833	5406
